text,category_truth,source
Add Leo's soccer practice tomorrow from 4 to 5 PM for family-1,fast_path_mutate,seed
Add Leo's soccer practice yesterday from 4 to 5 PM for family-1,fast_path_reject,seed
Show Leo's activities today for family-1,fast_path_read,seed
Add Leo's piano lesson during his existing soccer practice for family-1,fast_path_reject,seed
Add child-2's music lesson at the same time as Leo's soccer practice for family-1,fast_path_mutate,seed
Assign two overlapping activities to parent-1 in family-1,fast_path_reject,seed
Delete Leo's soccer practice today for family-1,fast_path_mutate,seed
Restore Leo's deleted soccer practice for today in family-1,fast_path_mutate,seed
Draft a day-of reminder at 8 AM for both parents for Leo's next practice in family-1,fast_path_mutate,seed
Draft an 8 AM reminder for an event today after 8 AM has passed in family-1,fast_path_reject,seed
Delete soccer practice for family-1,ambiguous_clarify,seed
Move Leo's practice to 6 PM for family-1,fast_path_mutate,seed
Show all activities in family-2,fast_path_read,seed
Show today's activities for family-1,fast_path_read,seed
"Coordinate next week for family-1, identify conflicts, propose parent assignments, and draft day-of reminders.",deep_weekly_workflow,seed
"Schedule an activity from 5:15 to 5:45 PM on May 18, 2027 for family-1.",fast_path_reject,seed
"Plan transportation for family-1 on the last day of school, May 27, 2027.",deep_weekly_workflow,seed
"Coordinate next week for family-1. Check school events, resolve activity and transportation conflicts, generate three schedule options for parent-1, parent-2, and vikram, recommend the best plan, and draft reminders. Do not apply changes until I approve.",deep_weekly_workflow,seed
Assign Vikram to a Tuesday 10 AM pickup for family-1.,fast_path_reject,seed
Apply option 1 for family-1. One of its events changed after the weekly plan was generated.,fast_path_reject,seed
Find three science or outdoor activities near San Jose for family-1 this weekend. Check our calendar first and stay within a 45-minute drive. Do not add anything to the calendar.,outing_workflow,seed
Show tomorrow's activities for family-1,fast_path_read,seed
Add Leo's dentist appointment tomorrow from 2 to 3 PM at Willow Clinic for family-1,fast_path_mutate,seed
Show all family-1 activities for next week,fast_path_read,seed
Move Leo's soccer practice tomorrow from 4 PM to 6 PM for family-1,fast_path_mutate,seed
Show reminder drafts for Leo's soccer practice tomorrow in family-1,fast_path_read,seed
Reassign Leo's soccer practice to parent-2 for family-1,fast_path_mutate,seed
Delete Leo's soccer practice for family-2,fast_path_reject,seed
List all events for family-3 today,fast_path_read,seed
"Draft a reminder for parent-1 only, 8 AM, for Leo's next soccer practice in family-1",fast_path_mutate,seed
Hey can you add Maya's piano lesson tomorrow at 5 PM? family-2,fast_path_mutate,synthetic
Delete Noah's dentist appt today for family-1,fast_path_mutate,synthetic
Move Ava's swim class to 4pm for family-3 pls,fast_path_mutate,synthetic
Create Ben's birthday party on Sat at 2pm for family-4,fast_path_mutate,synthetic
Draft reminder 9am for family-2 about Zoe's orthodontist visit,fast_path_mutate,synthetic
Move Leo's chess club from 3 to 5pm family-1,fast_path_mutate,synthetic
Restore Priya's deleted art class today family-3,fast_path_mutate,synthetic
Reassign Maya's tutoring session to parent-2 family-2,fast_path_mutate,synthetic
Add Noah's gymnastics class tomorrow 1-2pm family-4,fast_path_mutate,synthetic
Cancel Zoe's piano lesson tomorrow afternoon family-1,fast_path_mutate,synthetic
Move Ava's playdate to next Mon 11am family-2,fast_path_mutate,synthetic
Add Ruby's gymnastics class tomorrow 6-7pm family-3,fast_path_mutate,synthetic
Add Leo's soccer practice tomorrow 4-5 PM for family-1,fast_path_mutate,synthetic
Could you please add Maya's piano lesson tomorrow at 3 PM for family-2,fast_path_mutate,synthetic
Delete Ava's dentist appt today for family-3,fast_path_mutate,synthetic
Restore Noah's orthodontist visit tomorrow morning for family-4,fast_path_mutate,synthetic
