text,category_truth,source
Diana in Search of Herself is average and gets a 3 out of 6 points,RateBook,snips_benchmark
put kan on my Indie Rock Road Trip,AddToPlaylist,snips_benchmark
Where is Road to the Stage playing,SearchScreeningEvent,snips_benchmark
What time is A Man for Burning playing,SearchScreeningEvent,snips_benchmark
What will the weather be in 1 day in Kuwait ?,GetWeather,snips_benchmark
Play a fifties album on Itunes .,PlayMusic,snips_benchmark
Play Thelma Aoyama 's latest concerto,PlayMusic,snips_benchmark
"In Apr. , I'd like to eat at a pub Manack Montana with 4 people",BookRestaurant,snips_benchmark
find films in the neighborhood,SearchScreeningEvent,snips_benchmark
add little pattie track in Nu Metal,AddToPlaylist,snips_benchmark
book for six for 1 hour and 1 minute from now,BookRestaurant,snips_benchmark
play a tune from 1973,PlayMusic,snips_benchmark
how's the weather looking in Pheba,GetWeather,snips_benchmark
Show me a copy of the picture Double Deal .,SearchCreativeWork,snips_benchmark
rate the book series Sons of Destiny a five,RateBook,snips_benchmark
add Muzika za decu to my Crash Course playlist,AddToPlaylist,snips_benchmark
Tell me the weather forecast nearby my current location,GetWeather,snips_benchmark
"Play the playlist, Hardstyle, Baby .",PlayMusic,snips_benchmark
I want to give the current novel 4 stars,RateBook,snips_benchmark
I'd like to book 4 seats at a restaurant .,BookRestaurant,snips_benchmark
Get me reservations for an indoor Honduras restaurant .,BookRestaurant,snips_benchmark
Is it warm in the current spot ?,GetWeather,snips_benchmark
I give the previous series four stars .,RateBook,snips_benchmark
"I'm looking to book a table at a place in Newton Falls , prefereably within the same area that has space for 6",BookRestaurant,snips_benchmark
give 4 out of 6 stars to this textbook,RateBook,snips_benchmark
Play my inventive playlist,PlayMusic,snips_benchmark
"Please book reservations at a restaurant that serves empanada , party for three with betty and dolly .",BookRestaurant,snips_benchmark
Give me the showtimes for animated movies at the nearest cinema .,SearchScreeningEvent,snips_benchmark
Add brad kane to the Pumping Iron soundtrack.,AddToPlaylist,snips_benchmark
rate The Beggar of Volubilis 1 out of 6,RateBook,snips_benchmark
Find a painting called Boating on the River Epte .,SearchCreativeWork,snips_benchmark
Open Spotify and play a song from the twenties by Richard Harvey,PlayMusic,snips_benchmark
Find the schedule for Death Valley Manhunt .,SearchScreeningEvent,snips_benchmark
Need to book a restaurnt for a party of nine on Thomas Jefferson's Birthday,BookRestaurant,snips_benchmark
Which movies are showing at Southern Theatres ?,SearchScreeningEvent,snips_benchmark
evangeline and petra cooper want to go to a restaurant in 9 years,BookRestaurant,snips_benchmark
I want to give Gay Male Pornography An Issue of Sex Discrimination a 1,RateBook,snips_benchmark
I want to give the current textbook 0 out of 6 stars,RateBook,snips_benchmark
Book the Ballylickey House for 7/16/2027 .,BookRestaurant,snips_benchmark
book in Romania for christian and susana at David Carpenter House,BookRestaurant,snips_benchmark
rate The Prince of Providence 2 points,RateBook,snips_benchmark
I need a reservation for Harveys this Winter in neighboring Wisconsin for terri and I,BookRestaurant,snips_benchmark
What animated movies are playing in the neighbourhood and when?,SearchScreeningEvent,snips_benchmark
Find and book me a taverna restaurant in Gilluly that serves lobster newberg,BookRestaurant,snips_benchmark
Will it get hotter around elevenses in KS ?,GetWeather,snips_benchmark
Can you book me a table for 9 in DE ?,BookRestaurant,snips_benchmark
Book a restaurant this year for party of 2,BookRestaurant,snips_benchmark
play The Happiest Days Of Our Lives by Tommy Emmanuel,PlayMusic,snips_benchmark
I'd like to watch In High Places,SearchScreeningEvent,snips_benchmark
rate the book Whit a zero,RateBook,snips_benchmark
What is the TV show Journal of Personality and Social Psychology ?,SearchCreativeWork,snips_benchmark
add this track to my party playlist,AddToPlaylist,snips_benchmark
Play Eve,PlayMusic,snips_benchmark
What animated movies are around here,SearchScreeningEvent,snips_benchmark
what is the weather forecast for Åland,GetWeather,snips_benchmark
I rate Step by Wicked Step 1 stars,RateBook,snips_benchmark
Add LA Woman to my soul lounge playlist.,AddToPlaylist,snips_benchmark
Can I get the Cineplex Odeon Corporation showings for Small Town Story ?,SearchScreeningEvent,snips_benchmark
add all the years to Concentración,AddToPlaylist,snips_benchmark
show me movie times at my local theater.,SearchScreeningEvent,snips_benchmark
Play the newest melody by Cisco Adler on pandora,PlayMusic,snips_benchmark
add artist abdel halim hafez to my conexiones playlist,AddToPlaylist,snips_benchmark
will you add Pat Kirtley to my covered in punk playlist,AddToPlaylist,snips_benchmark
Find the song called International Journal of Bilingualism,SearchCreativeWork,snips_benchmark
I give the Flash series 0 out of 6 .,RateBook,snips_benchmark
For my playlist Wild Country add a great day for freedom,AddToPlaylist,snips_benchmark
find The Dead Matter at Speakeasy Theaters,SearchScreeningEvent,snips_benchmark
give this book a rating of 3,RateBook,snips_benchmark
"find Remedial Chaos Theory , a soundtrack",SearchCreativeWork,snips_benchmark
Can you play the latest faust soundtrack from 1967 ?,PlayMusic,snips_benchmark
Check films screened at the closest cinema,SearchScreeningEvent,snips_benchmark
Need a creative work with the title Unholy Confessions,SearchCreativeWork,snips_benchmark
Put this song on legendary guitar solos,AddToPlaylist,snips_benchmark
Will it be warm in the current place next spring,GetWeather,snips_benchmark
I want to hear a top-50 track from Takahito Eguchi on Google Music,PlayMusic,snips_benchmark
Is Dummy playing at two a.m. ?,SearchScreeningEvent,snips_benchmark
add joan wasser to running playlist,AddToPlaylist,snips_benchmark
Rate this textbook a three,RateBook,snips_benchmark
Can I get the showings for Mysterious Crossing ?,SearchScreeningEvent,snips_benchmark
Book the Atomic Cafe for ten people.,BookRestaurant,snips_benchmark
What is the weather in Arkansas the city of Morrison,GetWeather,snips_benchmark
the stars total 6 but Journey Under the Midnight Sun gets a four,RateBook,snips_benchmark
give 4 out of 6 points to current essay,RateBook,snips_benchmark
Add an artist to my playlist Domingo Indie,AddToPlaylist,snips_benchmark
add tolmatschowa schwestern to my Street Dance playlist,AddToPlaylist,snips_benchmark
What films are playing at Goodrich Quality Theaters,SearchScreeningEvent,snips_benchmark
What movie theatre is playing Shed No Tears,SearchScreeningEvent,snips_benchmark
Is it snowy in Ocean Shores,GetWeather,snips_benchmark
I want to book a table for me and my boss at Glassy Junction in Turkey .,BookRestaurant,snips_benchmark
add this song to my workout playlist,AddToPlaylist,snips_benchmark
What is the weather forecast for my current position,GetWeather,snips_benchmark
add antisleep volume 04 in All Out 70s playlist,AddToPlaylist,snips_benchmark
For my playlist Latin Pop Rising add Aira Yuhki,AddToPlaylist,snips_benchmark
Book a restaurant 2 months from now for seven people in New Caledonia .,BookRestaurant,snips_benchmark
I want to give Select Conversations with an Uncle 5 stars,RateBook,snips_benchmark
I want to hear Major Harris 's songs from the fifties,PlayMusic,snips_benchmark
add steel guitar rag in acoustic covers the mash ups,AddToPlaylist,snips_benchmark
I need a reservation for four at a bar,BookRestaurant,snips_benchmark
rat the current textbook a two out of 6 points,RateBook,snips_benchmark
I need to book a restaurant in Sunnybrook for 7,BookRestaurant,snips_benchmark
I want to watch Supernatural The Unseen Powers of Animals,SearchCreativeWork,snips_benchmark
find The Angry Birds Movie,SearchCreativeWork,snips_benchmark
"Book a reservation for five people at a restaurant with pool in Benkelman , MI in Apr.",BookRestaurant,snips_benchmark
Use netflix to play a record by Emil Gilels from year 2015,PlayMusic,snips_benchmark
Find a game called The Guyra Ghost Mystery .,SearchCreativeWork,snips_benchmark
show movie schedules at Megaplex Theatres,SearchScreeningEvent,snips_benchmark
find a video game called The Yellow Claw,SearchCreativeWork,snips_benchmark
What is the weather forecast for New Mexico,GetWeather,snips_benchmark
I would like to book a restaurant for souvlaki cuisine in the state of NE,BookRestaurant,snips_benchmark
read the novel Friend The Great Legacy,SearchCreativeWork,snips_benchmark
Add Richard McNamara newest song to the Just Smile playlist,AddToPlaylist,snips_benchmark
add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,AddToPlaylist,snips_benchmark
What is the weather forecast two hours and seventeen seconds from now in Elgin Schoolhouse State Historic Site,GetWeather,snips_benchmark
is it going to be chilly on 12/13/2025 in Haugan Pakistan,GetWeather,snips_benchmark
What animated movies are playing at the closest movie theatre,SearchScreeningEvent,snips_benchmark
Give this series 4 stars,RateBook,snips_benchmark
Put frank portman in my playlist GOOD Music,AddToPlaylist,snips_benchmark
Can I get the movie schedules for Loews Cineplex in six hours seventeen minutes and eighteen seconds .,SearchScreeningEvent,snips_benchmark
find the painting The Adventures of Teddy Ruxpin,SearchCreativeWork,snips_benchmark
"find Mother Earth , a TV show",SearchCreativeWork,snips_benchmark
add this track to my Hands Up playlist,AddToPlaylist,snips_benchmark
add licorice mckechnie to just dance by aftercluv,AddToPlaylist,snips_benchmark
Show me when and where I can see Song of Summer,SearchScreeningEvent,snips_benchmark
Add the second three years to my workout twerkout playlist,AddToPlaylist,snips_benchmark
play chant on groove shark from 1996,PlayMusic,snips_benchmark
Play me a seventies ep,PlayMusic,snips_benchmark
What's the weather going to be like in a week at Big Walnut Creek Nature Preserve ?,GetWeather,snips_benchmark
add people take pictures of each other to Rhythm and Blues playlist,AddToPlaylist,snips_benchmark
Book a table for 6 in New Hampshire for next week .,BookRestaurant,snips_benchmark
Can you find me Cracks the Safe ?,SearchCreativeWork,snips_benchmark
I want to hear some Boris Grebenchtchikov on Zvooq,PlayMusic,snips_benchmark
add digging now to my Young at Heart playlist,AddToPlaylist,snips_benchmark
Play Eddie Meduza from the thirties,PlayMusic,snips_benchmark
Open Youtube and play Connie Francis Sings Spanish And Latin American Favorites from Yukiko Iwai,PlayMusic,snips_benchmark
add songs tune in Reggae Infusions,AddToPlaylist,snips_benchmark
Please add tobymac 's song onto the indiespensables playlist.,AddToPlaylist,snips_benchmark
What time is Southern Theatres showing Ukraine Is Not a Brothel ?,SearchScreeningEvent,snips_benchmark
At four pm . I need a table for 8 at a restaurant in Guernsey that serves salade .,BookRestaurant,snips_benchmark
give 0 points to current series,RateBook,snips_benchmark
Where is the nearest cinema playing Rainbow Eyes that starts in one minute ?,SearchScreeningEvent,snips_benchmark
I need to book a table for claudia and imelda at a brasserie that is top-rated,BookRestaurant,snips_benchmark
Book a popular restaurant for two which is distant from Avalon .,BookRestaurant,snips_benchmark
What are the movie times for films playing in the area ?,SearchScreeningEvent,snips_benchmark
