text,category_truth
Show soccer practice events for family-3 today,fast_path_read
Add Maya's piano lesson on Feb 14 2022 at 5pm for family-1,fast_path_reject
Show reminder drafts for Ava's art class tomorrow in family-2,fast_path_read
Move Ava's gymnastics session to yesterday 5pm for family-3,fast_path_reject
Delete Noah's swim class from yesterday for family-4,fast_path_reject
"coud you plan the week for family-2? Maya's piano lesson Wed, dentist appointment Thu, need conflict resolution and schedule options, reminders.",deep_weekly_workflow
Remove Ava's dentist appointment next week please,ambiguous_clarify
"Please move Kai's dentist appointment onto his existing chess club slot, family-4",fast_path_conflict
Reassign Ben's gym class to parent-2 for family-3,fast_path_mutate
"Schedule an activity from 5:15 to 5:45 PM on May 18, 2027 for family-1.",fast_path_reject
Delete soccer practice for family-2?,ambiguous_clarify
Reassign Leo's soccer practice to parent-2 for family-1,fast_path_mutate
Assign Noah to both piano lesson and tutoring at 5 PM on Thursday for family-1,fast_path_conflict
"Give me a neaby art class for Ava family-1 next weekend, see my calendar availability, limit travel to 45 min, no edits.",outing_workflow
Add a reminder for the thing on Thursday,ambiguous_clarify
Show today's activities for family-1,fast_path_read
"Assign Maya's chess club to family-4, but she's actually in family-2",fast_path_reject
Cancel Ben's thing on Friday,ambiguous_clarify
Please review family-4's entire week of activities and flag anything that overlaps.,deep_weekly_workflow
"Assign parent-2 to two different pickups at the same time, family-2",fast_path_conflict
"Can you coordinate next week for family-1? Maya's soccer practice Tuesday conflicts with piano lesson, need options and reminders.",deep_weekly_workflow
Please take out Noah's swim class,ambiguous_clarify
"Need a birthday party spot for Zoe during break. Check calendar first, 45‑min drive limit, no calendar changes.",outing_workflow
Please suggest two fun outings for Maya during next week’s break that are close to family-2 and under 30 min drive; please don’t modify our schedule.,outing_workflow
Show reminder drafts for Ava's dentist appointment tomorrow in family-4,fast_path_read
"Suggest two activities for Priya (family-2) this weekend, max 40‑min drive, check schedule first, no changes.",outing_workflow
"Move Ruby's dentist appointment to overlap with her scheduled gymnastics, family-3",fast_path_conflict
List all birthday party events for family-2,fast_path_read
Restore Leo's deleted soccer practice for today in family-1,fast_path_mutate
Cancel swimming class for Noah on Saturday?,ambiguous_clarify
"Schedule Sofia's swim class to clash with her scheduled birthday party, family-1",fast_path_conflict
Can cel Kai's gymnastics session family-1,ambiguous_clarify
Can you delete Sofia's playdate from two days ago for family-3?,fast_path_reject
"Maya (family-3) need two weekend outings within 30 mi — something like piano lesson or art class, check the calendar first, and don’t add anything.",outing_workflow
Schedule Ava's playdate for Saturday at 2 PM for family-3,fast_path_mutate
Show all events for family-4 next week,fast_path_read
Update Priya's tutoring session to Friday 3-4 PM for family-2,fast_path_mutate
"Add Ava's chess club Wednesday 4pm, which conflicts with her existing swim class, family-3",fast_path_conflict
"Family-3: Leo has a dentist appointment that might overlap his art class, please check and suggest a fix.",deep_weekly_workflow
"Looking for a swim class for Noah on Friday. Check calendar first, limit drive to 45 min, don’t add anything.",outing_workflow
Schedule Kai's gymnastics for family-4,ambiguous_clarify
"Update Priya's tutoring session to overlap with her birthday party on Saturday, family-2",fast_path_conflict
Add Leo's soccer practice tomorrow from 4 to 5 PM for family-1,fast_path_mutate
"Tell me 2 neaby chess club spots for Priya family-2 this Saturday, confirm from my calendar, keep it under 45 min drive, no changes.",outing_workflow
Show Leo's soccer practice tomorrow family-1,fast_path_read
"Delete Ben's birthday party, actually soccer?",ambiguous_clarify
Cancel Ruby's orthodontist visit next Monday for family-1,fast_path_mutate
Move Sofia's piano lesson to 2pm family-1,fast_path_mutate
List all events for family-2 today,fast_path_read
"Move Ava's dentist appointment to Thursday for family-2, though she's registered in family-3",fast_path_reject
"Coordinate next week for family-1, identify conflicts, propose parent assignments, and draft day-of reminders.",deep_weekly_workflow
Help me sort next week for family-2 – Ben’s piano lesson and soccer practice; suggest three parent assignments.,deep_weekly_workflow
"Cancel Ben's dentist appointment next Tuesday, family-3",fast_path_mutate
Can you move the class to a better time for family-3?,ambiguous_clarify
"Assign Maya's soccer practice to family-2, though she's registered in family-3",fast_path_reject
"Assign Sofia's swim class to 5pm Wednesday, which clashes with her existing chess club, family-4",fast_path_conflict
"Suggest a soccer practce for Ben family-1 this Saturday, verify on my schedule, limit to 45 min travel, no edits.",outing_workflow
Remove gymnastics practice for Maya on Thursday,ambiguous_clarify
"Could you handle scheduling for family-3? Ava's piano lesson Wed and art class Thu, resolve conflicts with tutoring session, propose plans, send reminders.",deep_weekly_workflow
Show Priya's dentist appointment tomorrow family-4,fast_path_read
"Could you provide three activity ideas for Ruby (family-4) this weekend, preferably outdoor or art‑related, within 30‑min drive? Please check my calendar first and do not modify.",outing_workflow
"Move Kai's dentist appointment to 3pm on March 3rd, which already passed, for family-1",fast_path_reject
Can you adjust the appointment time?,ambiguous_clarify
"Assign Priya's art class to overlap with her orthodontist visit, family-4",fast_path_conflict
Try again to add Priya's swim class for family-1 after it was rejected,fast_path_reject
Assign two overlapping activities to parent-4 in family-4,fast_path_conflict
Please cancel the class for family-3,ambiguous_clarify
Delete Sofia's playdate,ambiguous_clarify
Show reminder drafts for Ava's orthodontist visit tomorrow family-3,fast_path_read
"Assign Ben and Ava to the same pickup slot with only one available driver, family-3",fast_path_conflict
Show Leo's activities today for family-1,fast_path_read
"Need 2 soccer practice ideas for Leo this Sat. Check calendar first, 45‑min drive max, don’t add to calendar.",outing_workflow
Restore Priya's deleted art class today family-3,fast_path_mutate
Draft an 8 AM reminder for an event today after 8 AM has passed in family-1,fast_path_reject
List all events family-4 todaye,fast_path_read
Please remove Leo's soccer practice for family-3.,ambiguous_clarify
"Assign Noah's swim class to family-3, but school records list him under family-1",fast_path_reject
"Could you provide a short list of playdate options for Ben this school break near family-2, keep drive time under an hour, and don’t add to calendar.",outing_workflow
Add Leo's soccer practice tomorrow 4-5 PM for family-1,fast_path_mutate
Draft a reminder at 8 AM for parent-1 only for Noah's dentist appointment tomorrow,fast_path_mutate
"Update family-2 weekly plan with new tutoring session, but plan version is stale",fast_path_reject
"Zoe's swim class and chess club on same day next week, any conflicts? Draft a plan please.",deep_weekly_workflow
Schedule Kai's orthodontist visit for family-1 when Kai is in family-2,fast_path_reject
Add a tutoring session for Noah,ambiguous_clarify
Schedule a playdate for family-3,ambiguous_clarify
Cancel Leo's soccer practice next Tuesday for family-1,fast_path_mutate
Apply the old weekly plan to schedule Kai's gymnastics for family-4,fast_path_reject
"Find three weekend activities for Leo this Saturday near family-1 within a 45‑minute drive, confirm they fit our calendar and don’t add anything.",outing_workflow
Can you delete Ava's chess club?,ambiguous_clarify
"Need one activity idea for Ava this weekend, preferably outdoors, near family-3, staying under 45 min drive, and make sure we don’t book it into the calendar.",outing_workflow
Reschedule Noah’s tutoring session next Tuesday?,ambiguous_clarify
"Please schedule Noah's soccer practice over his piano lesson, family-4",fast_path_conflict
Show reminder drafts for Noah's dentist appointment tomorrow family-2,fast_path_read
List all family-1 activities for next week,fast_path_read
Add Maya's piano lesson on March 3rd 2022 at 5 PM for family-2,fast_path_reject
Show today's art class for family-2,fast_path_read
Delete Ruby's birthday party for family-4,ambiguous_clarify
Retry adding Noah's chess club at 6 PM for family-1 after I just said no,fast_path_reject
