text,category_truth
play The Happiest Days Of Our Lives by Tommy Emmanuel,PlayMusic
Add a jacob miller album to my Hardcore Punk playlist.,AddToPlaylist
I want to hear Sebastian 's songs from the thirties on Youtube,PlayMusic
What is the weather forecast for Papua New Guinea,GetWeather
how's the weather looking in Pheba,GetWeather
give zero point to this textbook,RateBook
What will the humidity be in Beroun on aug. 26,GetWeather
Let's hear stuff from Andrew Hewitt .,PlayMusic
what is the forecast for Orienta for hotter weather,GetWeather
Show me the movie Operetta for the Theatre Organ,SearchCreativeWork
give 4 out of 6 stars to this textbook,RateBook
I'm in Bowling Green . Please book a restaurant for 1 close by .,BookRestaurant
Is Dummy playing at two a.m. ?,SearchScreeningEvent
Rate Hocus Bogus a 4 .,RateBook
Rate A Conspiracy of Paper 4 of 6,RateBook
Play the music genre Synthpop,PlayMusic
Add Ava Leigh to my Grime Instrumentals playlist,AddToPlaylist
Book a table for 6 in New Hampshire for next week .,BookRestaurant
What time is Southern Theatres showing Ukraine Is Not a Brothel ?,SearchScreeningEvent
"Book a reservation at a restaurant with me, matilda and deana",BookRestaurant
"book spot for four at Cliff House, San Francisco in Martinique",BookRestaurant
What is the weather forecast two hours and seventeen seconds from now in Elgin Schoolhouse State Historic Site,GetWeather
Give me the movie times at Warren Theatres .,SearchScreeningEvent
Use Deezer to play the last song from Lee Dorrian,PlayMusic
add Dying Mapa I to Más Que Amigos,AddToPlaylist
I'd like to watch In High Places,SearchScreeningEvent
Book the Ballylickey House for 7/16/2027 .,BookRestaurant
I need a reservation for four at a bar,BookRestaurant
play chant on groove shark from 1996,PlayMusic
I am giving the current novel a four out of 6 rating.,RateBook
Play Rap Album One by Gene Vincent .,PlayMusic
I need to book a table for claudia and imelda at a brasserie that is top-rated,BookRestaurant
Need a creative work with the title Unholy Confessions,SearchCreativeWork
play Punk Essentials on Zvooq,PlayMusic
Show me a picture of Love,SearchCreativeWork
Find the movie schedules for nearby movies .,SearchScreeningEvent
Find the Another Ticket game,SearchCreativeWork
Please search for Sealed with a Kiss movie .,SearchCreativeWork
Send the track from andrew hewitt to the piano ballads playlist,AddToPlaylist
Play some music from 1989 by Sanjeev Abhyankar .,PlayMusic
"book a restaurant this week for joni, wilda sanders and I in AL",BookRestaurant
book a sushis serving restaurant in Uzbekistan,BookRestaurant
Add Tobias Sammet to my bring back the 90s list,AddToPlaylist
Play the last Wellman Braud album relaesd,PlayMusic
find me The Seven-Ups,SearchCreativeWork
"book a spot for marlene, jordan and I on oct. the 6th",BookRestaurant
I want to give the current textbook 0 out of 6 stars,RateBook
Look for the TV series The Stars at Saint Andrea,SearchCreativeWork
What's the weather going to be like in a week at Big Walnut Creek Nature Preserve ?,GetWeather
Find me the Travel Weekly,SearchCreativeWork
Give me a forecast for Carol City,GetWeather
give 0 points to current series,RateBook
I want to give The First Person and Other Stories 0 out of 6 stars,RateBook
Please play Kabhi Jo Baadal Barse by Ruth Lorenzo,PlayMusic
Tell me the weather forecast nearby my current location,GetWeather
play Are & Be,PlayMusic
Play me the track Mama Liked The Roses,PlayMusic
Find The Gill Deacon Show .,SearchCreativeWork
Add Justin McRoberts to this is chopin,AddToPlaylist
"find Something Crucial , a book",SearchCreativeWork
add antisleep volume 04 in All Out 70s playlist,AddToPlaylist
Add song to my underground hits,AddToPlaylist
Add Mary Wells Sings My Guy to the electro sur playlist.,AddToPlaylist
Play Eve,PlayMusic
find the painting The Adventures of Teddy Ruxpin,SearchCreativeWork
Swine Not ? deserves four points,RateBook
Find WxHexEditor .,SearchCreativeWork
give one point to Compendium of Analytical Nomenclature,RateBook
Play Rock This playlist with Badonviller Marsch,AddToPlaylist
What's the weather in Mettawa Oklahoma,GetWeather
Will it be hotter in CT at 6 am,GetWeather
find Journal of the Society for American Music,SearchCreativeWork
rate the book Whit a zero,RateBook
Can I get the Cineplex Odeon Corporation showings for Small Town Story ?,SearchScreeningEvent
Can I get the movie schedules for Loews Cineplex in six hours seventeen minutes and eighteen seconds .,SearchScreeningEvent
will there be hail in Kaffir,GetWeather
book me and my grandparents a restaurant in Saint Helens South Dakota,BookRestaurant
PLpay the top ten track from Asia Nitollano on spotify .,PlayMusic
Is it cloudy in Vermont on 063026 pm,GetWeather
"Book a reservation for five people at a restaurant with pool in Benkelman , MI in Apr.",BookRestaurant
add all the years to Concentración,AddToPlaylist
I want to watch Supernatural The Unseen Powers of Animals,SearchCreativeWork
I would like to book a puglia food court in KY,BookRestaurant
Find a painting called Pulsions .,SearchCreativeWork
find the closest movie theatre with animated movies,SearchScreeningEvent
"What is the weather looking like for December the eleventh, 2034 in MD",GetWeather
Book a table for a party of 7 next year in ID .,BookRestaurant
I give the Flash series 0 out of 6 .,RateBook
What movies are scheduled at Plitt Theatres ?,SearchScreeningEvent
Can you please give me the forecast for the Dominica,GetWeather
add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,AddToPlaylist
Lets go and take elsa and I to Westhampton Beach in 1 hour to the american chinese cuisine at the tea house,BookRestaurant
add track to kickass metal,AddToPlaylist
Open Zvooq and play the best songs from Device,PlayMusic
add steel guitar rag in acoustic covers the mash ups,AddToPlaylist
"find Mother Earth , a TV show",SearchCreativeWork
I need to know the weather seven weeks from now in Morgan–Monroe State Forest,GetWeather
Can you play an ep from the year 1958 ?,PlayMusic
add scott putesky to concentración indie rock playlist,AddToPlaylist
show creativity of The Oxford Companion to Beer TV show,SearchCreativeWork
when can iw atch Great Balls of Fire! - Vampate di fuoco,SearchScreeningEvent
"I'm looking to book a table at a place in Newton Falls , prefereably within the same area that has space for 6",BookRestaurant
rate The Beggar of Volubilis 1 out of 6,RateBook
Is there a storm in the weather forecast for Baraga Oregon,GetWeather
Where and when is Douglas playing?,SearchScreeningEvent
"In Apr. , I'd like to eat at a pub Manack Montana with 4 people",BookRestaurant
Please add the singer Valery Kipelov to the Perfect Concentration list,AddToPlaylist
find Fox Theatres with The Caretaker,SearchScreeningEvent
add track to my spring playlist,AddToPlaylist
"find Trauma Center New Blood , an album",SearchCreativeWork
I'm looking for the trailer to Evil or Divine - Live in New York City .,SearchCreativeWork
Is it hotter here on Navy Birthday,GetWeather
Play the newest melody by Cisco Adler on pandora,PlayMusic
book a spot for 8 at a popular taverna,BookRestaurant
